1,2,3,4,5
3.33048,3.31233,3.29393,3.25922,3.34019
3.3302,3.31169,3.29368,3.25876,3.3397
3.47012,3.42281,3.43475,3.46835,3.44929
3.34844,3.30724,3.30503,3.34351,3.32705
3.30853,3.27662,3.26537,3.3156,3.29609
3.2986,3.26735,3.25348,3.30507,3.28685
3.29652,3.2645,3.25099,3.30201,3.28435
3.2955,3.26342,3.25002,3.30083,3.28307
3.29391,3.26203,3.24854,3.29761,3.28128
3.29309,3.2614,3.24785,3.29692,3.28011
3.2927,3.261,3.24649,3.29621,3.27955
3.29213,3.26068,3.24585,3.29573,3.27911
3.44223,3.52809,3.49424,3.48081,3.45091
3.3121,3.41369,3.37069,3.34967,3.32009
3.27929,3.38422,3.33728,3.30951,3.2849
3.26953,3.37558,3.32709,3.29819,3.27379
3.2672,3.37305,3.32448,3.29485,3.27108
3.2659,3.37182,3.32331,3.29355,3.26951
3.26474,3.36901,3.32189,3.29251,3.2685
3.26404,3.36781,3.32089,3.29177,3.26696
3.26186,3.36745,3.32003,3.29096,3.26591
3.26154,3.36611,3.31924,3.29027,3.26548
3.45134,3.37639,3.49594,3.47825,3.40427
3.32745,3.27074,3.38005,3.35438,3.2894
3.28886,3.24112,3.35149,3.32103,3.25969
3.27811,3.23238,3.3436,3.31246,3.25012
3.27563,3.22957,3.3414,3.31054,3.24681
3.27421,3.22829,3.3403,3.30906,3.24545
3.27341,3.22751,3.33723,3.30817,3.24404
3.27058,3.22688,3.33664,3.30547,3.2431
3.27015,3.22638,3.33532,3.30512,3.24253
3.2698,3.22469,3.33498,3.30475,3.24208
3.41405,3.37899,3.44448,3.38281,3.3693
3.31086,3.28486,3.34047,3.28766,3.27346
3.28072,3.26035,3.31332,3.26429,3.24922
3.27259,3.25295,3.30509,3.25565,3.24082
3.27089,3.25123,3.30262,3.25328,3.23895
3.26977,3.25032,3.30154,3.2523,3.23762
3.26899,3.24931,3.30021,3.25111,3.23686
3.26839,3.24875,3.29943,3.25051,3.23431
3.26782,3.2479,3.29839,3.24895,3.23392
3.26741,3.24736,3.29795,3.24869,3.2333
3.44181,3.44268,3.45285,3.48678,3.48745
3.32311,3.31899,3.34355,3.3625,3.36565
3.29375,3.28894,3.31661,3.32657,3.33574
3.28349,3.27978,3.30853,3.3165,3.32651
3.27997,3.27661,3.3063,3.31468,3.32432
3.2787,3.27536,3.30531,3.3129,3.32246
3.2772,3.27306,3.30339,3.312,3.32139
3.27626,3.27201,3.30222,3.31113,3.31831
3.27557,3.27084,3.30195,3.31059,3.318
3.27492,3.27017,3.30144,3.31015,3.31757
3.40748,3.50377,3.41659,3.49176,3.52474
3.29576,3.37939,3.29718,3.35321,3.39635
3.26836,3.34336,3.26772,3.31451,3.35762
3.25984,3.33282,3.25759,3.30386,3.34763
3.25705,3.32991,3.25385,3.30202,3.34567
3.25576,3.32881,3.25249,3.30001,3.34424
3.25443,3.32744,3.25045,3.29918,3.34352
3.25353,3.32641,3.24931,3.2988,3.34198
3.2529,3.32597,3.24893,3.29803,3.3411
3.25244,3.32564,3.24866,3.29727,3.33995
3.46091,3.49061,3.48619,3.46098,3.51714
3.35132,3.37894,3.37415,3.34054,3.40235
3.32339,3.35122,3.34221,3.30856,3.37156
3.31548,3.34241,3.33304,3.29782,3.36081
3.31329,3.34023,3.33085,3.29534,3.35745
3.31229,3.33897,3.32968,3.29426,3.35616
3.30908,3.33796,3.32857,3.29315,3.35487
3.30857,3.33725,3.32789,3.29248,3.35416
3.30827,3.33665,3.32672,3.2915,3.35376
3.30802,3.33616,3.32586,3.29086,3.35222
3.49238,3.43855,3.4784,3.41589,3.41852
3.37177,3.31775,3.35854,3.303,3.294
3.33392,3.29039,3.33095,3.27394,3.26215
3.32299,3.27994,3.3211,3.26563,3.25256
3.32074,3.27696,3.31856,3.26355,3.24983
3.31965,3.27551,3.31726,3.2625,3.24857
3.31887,3.27201,3.31647,3.26064,3.24626
3.31827,3.27091,3.31334,3.25948,3.24508
3.31783,3.27053,3.31295,3.2592,3.24473
3.317,3.27021,3.31274,3.25842,3.24445
3.4689,3.4435,3.39416,3.4782,3.38298
3.34277,3.31364,3.281,3.34739,3.26766
3.31224,3.26975,3.25029,3.31163,3.23782
3.30156,3.25807,3.24154,3.29883,3.22901
3.29841,3.25604,3.23894,3.29576,3.22629
3.29715,3.25458,3.23787,3.29461,3.22528
3.29395,3.25386,3.23556,3.29373,3.22347
3.29315,3.2516,3.23482,3.29309,3.22272
3.29255,3.25112,3.23422,3.2926,3.22206
3.29218,3.25074,3.23375,3.29188,3.2217
